Timestamp, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
1:42:33 PM,0x1e18c4,0x38f3f,0x29f,0x1d70ea,0x2fba8,0x145e7,0x99f8,0x30208000,0x0,0xf,0xc,0x17,0x17,0xcf8a,0x1c,0x0,0x0,0x0,0x0,0x0,0x0
1:42:35 PM,0x1e21e2,0x38f82,0x29f,0x1d79fc,0x2fbdc,0x14e24,0x9db0,0x30208000,0x0,0xf,0xc,0x17,0x17,0xd87a,0x1c,0x0,0x0,0x0,0x0,0x0,0x0
1:42:38 PM,0x1e2aff,0x38fdf,0x2a2,0x1d830f,0x2fc2b,0x14e24,0x9640,0x30208000,0x0,0xf,0xc,0x16,0x16,0xe172,0x1c,0x0,0x0,0x0,0x0,0x0,0x0
1:42:40 PM,0x1e341b,0x39035,0x29f,0x1d8c1a,0x2fc71,0x148a5,0x9db0,0x30208000,0x0,0xf,0xc,0x16,0x16,0xea59,0x1c,0x0,0x0,0x0,0x0,0x0,0x0
1:42:43 PM,0x1e3d42,0x3907e,0x296,0x1d9533,0x2fca9,0x148a5,0x9db0,0x30208000,0x0,0xf,0xc,0x16,0x16,0xf377,0x1c,0x0,0x0,0x0,0x0,0x0,0x0
1:42:45 PM,0x1e4663,0x390c8,0x293,0x1d9e3d,0x2fcd8,0x14b69,0x99f8,0x30208000,0x0,0xf,0xc,0x16,0x16,0xfc93,0x1c,0x0,0x0,0x0,0x0,0x0,0x0
1:42:48 PM,0x1e4f81,0x3913c,0x29f,0x1da755,0x2fd3b,0x14e24,0x9640,0x30208000,0x0,0xf,0xc,0x16,0x16,0x586,0x1d,0x0,0x0,0x0,0x0,0x0,0x0
1:42:50 PM,0x1e589d,0x3919a,0x29f,0x1db062,0x2fd72,0x148a5,0x9db0,0x30208000,0x0,0xf,0xc,0x16,0x16,0xe75,0x1d,0x0,0x0,0x0,0x0,0x0,0x0
1:42:53 PM,0x1e61b8,0x391f2,0x29f,0x1db96a,0x2fdb2,0x148a5,0x99f8,0x30208000,0x0,0xf,0xc,0x16,0x16,0x1760,0x1d,0x0,0x0,0x0,0x0,0x0,0x0
1:42:55 PM,0x1e6ad1,0x3924b,0x29f,0x1dc271,0x2fdeb,0x14e24,0xa168,0x30208000,0x0,0xf,0xc,0x16,0x16,0x204c,0x1d,0x0,0x0,0x0,0x0,0x0,0x0
1:42:58 PM,0x1e73f3,0x392b5,0x29f,0x1dcb83,0x2fe3a,0x14b69,0x99f8,0x30208000,0x0,0xf,0xc,0x16,0x16,0x2965,0x1d,0x0,0x0,0x0,0x0,0x0,0x0
